skill_id,name,profession,classification,database_source,instance_separation,protocol,server_authority,formula,targeting,mp,item_consumption,action_binding,visual,icon,cooldown_match,proficiency,disposition
taoist.defense,神圣战甲术,taoist,buff,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,candidate_package_only_not_removed_by_active_game_path,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
taoist.entrapment,困魔咒,taoist,debuff,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,candidate_package_only_not_removed_by_active_game_path,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
taoist.healing,治愈术,taoist,healing,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
taoist.invisibility,隐身术,taoist,buff,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,candidate_package_only_not_removed_by_active_game_path,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
taoist.magic_defense,幽灵盾,taoist,buff,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,candidate_package_only_not_removed_by_active_game_path,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
taoist.mass_healing,群体治疗术,taoist,healing,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
taoist.mass_invisibility,集体隐身术,taoist,buff,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,candidate_package_only_not_removed_by_active_game_path,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
taoist.poison,施毒术,taoist,debuff,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,candidate_package_only_not_removed_by_active_game_path,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
taoist.revelation,心灵启示,taoist,instant_target_spell,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
taoist.soul_fire_talisman,灵魂火符,taoist,projectile_spell,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,candidate_package_only_not_removed_by_active_game_path,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
